1785805262_403762,1785805262_403762.wav,a,a
1785816673_943086,1785816673_943086.wav,a,e
1785818298_045012,1785818298_045012.wav,a,other
1785818360_807087,1785818360_807087.wav,a,a
1785819315_974784,1785819315_974784.wav,o,a
1785825027_784936,1785825027_784936.wav,e,other
1785827015_66767,1785827015_66767.wav,o,other
1785827839_051649,1785827839_051649.wav,a,a
1785827914_546726,1785827914_546726.wav,i,other
1785849101_898305,1785849101_898305.wav,i,other
1785910112_996706,1785910112_996706.wav,i,other
1785910403_524778,1785910403_524778.wav,a,other
1785910493_309032,1785910493_309032.wav,i,other
1785910784_853492,1785910784_853492.wav,e,other
1785910990_338575,1785910990_338575.wav,a,a
1785911003_875322,1785911003_875322.wav,i,i
1785933188_654958,1785933188_654958.wav,a,e
1786008763_127341,1786008763_127341.wav,u,u
1786008772_864729,1786008772_864729.wav,a,other
1786008781_493855,1786008781_493855.wav,i,i
1786008789_948639,1786008789_948639.wav,u,o
1786008798_43882,1786008798_43882.wav,i,e
1786008806_958988,1786008806_958988.wav,a,a
1786008814_293271,1786008814_293271.wav,a,other
1786009669_256243,1786009669_256243.wav,i,e
1786009678_858304,1786009678_858304.wav,i,i
1786009695_264925,1786009695_264925.wav,e,other
1786009721_979704,1786009721_979704.wav,i,o
1786009729_409765,1786009729_409765.wav,a,a
1786009734_280715,1786009734_280715.wav,u,u
1786009741_138283,1786009741_138283.wav,e,e
1786009745_370761,1786009745_370761.wav,i,o
1786009776_83225,1786009776_83225.wav,other,other
1786010058_20208,1786010058_20208.wav,e,e
1786010065_655264,1786010065_655264.wav,a,o
1786010072_717978,1786010072_717978.wav,a,o
1786010108_878127,1786010108_878127.wav,a,o
1786010114_00164,1786010114_00164.wav,a,a
1786010119_306543,1786010119_306543.wav,e,o
1786010124_786138,1786010124_786138.wav,i,i
1786010143_026722,1786010143_026722.wav,a,o
1786019008_389513,1786019008_389513.wav,a,na
1786019024_356911,1786019024_356911.wav,a,ka
1786019028_877453,1786019028_877453.wav,i,ki
1786019033_08446,1786019033_08446.wav,u,ku
1786019036_988994,1786019036_988994.wav,e,ke
